,customer_id,req_id,insu_req_amount,insu_pay_amount,insu_cum_amount,insu_duration,customer_cost,risk
947,C126568,C126568-20130624-16619-01-001,1739102,2379102.0,1680000,42,-0.3680060168983763,1
948,C126591,C126591-20130311-18597-01-001,2601363,2921363.0,6200000,31,-0.12301243617288321,1
949,C126603,C126603-20130503-14819-02-001,9241957,10986834.0,4125000,33,-0.18879951508105913,1
950,C126611,C126611-20130225-13777-01-001,336700,536700.0,1640000,41,-0.594000594000594,1
951,C126615,C126615-20121024-12477-01-001,902635,1652635.0,3900000,26,-0.8309006409013611,1
952,C126632,C126632-20130916-20616-02-001,3397450,3683293.0,11100000,37,-0.08413457151687295,1
953,C126658,C126658-20130725-10432-01-001,500950,610950.0,6800000,34,-0.21958279269388162,1
954,C126664,C126664-20121214-16647-01-001,1477374,1904436.0,1400000,35,-0.2890683063327228,1
955,C126671,C126671-20130121-18622-01-001,1531160,1571160.0,6380000,29,-0.02612398443010528,1
956,C126680,C126680-20130905-13744-01-001,1353660,1841839.0,11100000,37,-0.36063634886160484,1
957,C126682,C126682-20130411-14795-01-001,430235,620235.0,1520000,38,-0.44161911513475194,1
958,C126683,C126683-20120530-13939-02-001,706250,1316250.0,6300000,21,-0.863716814159292,1
959,C126688,C126688-20130311-12361-01-001,801180,2366810.0,5550000,37,-1.9541551211962356,1
960,C126705,C126705-20120903-20059-01-001,2349289,2489289.0,5280000,24,-0.05959249798556074,1
961,C126707,C126707-20130712-14750-01-001,357000,2297408.0,4500000,45,-5.435316526610644,1
962,C126711,C126711-20120423-12697-02-001,826340,886340.0,6000000,20,-0.07260933756081032,1
963,C126722,C126722-20130806-10432-02-001,3042526,3348859.0,9300000,36,-0.10068377394309859,1
964,C126723,C126723-20130802-16805-02-001,5865414,7025284.0,8800000,40,-0.19774733718711074,1
965,C126724,C126724-20130307-11744-01-001,3147834,3325225.0,4680000,39,-0.05635335281339486,1
966,C126737,C126737-20130808-13143-03-001,2874970,2988540.0,6480000,36,-0.03950302090108766,1
967,C126741,C126741-20130228-10171-02-001,2015170,2215170.0,8700000,29,-0.09924720991281133,1
968,C126744,C126744-20130410-12152-01-001,256340,828170.0,3840000,32,-2.2307482250136537,1
969,C126750,C126750-20131017-11993-01-001,1960231,2205085.0,11100000,37,-0.1249107885754281,1
970,C126765,C126765-20120302-15429-01-001,110850,510850.0,950000,19,-3.6084799278304014,1
971,C126770,C126770-20101231-15232-01-001,2043900,3172136.0,1300000,13,-0.5520015656343266,1
972,C126772,C126772-20120424-11403-02-001,4912543,5592543.0,2500000,25,-0.13842118023190841,1
973,C126779,C126779-20130911-15537-01-001,143940,343940.0,1680000,42,-1.3894678338196471,1
974,C126784,C126784-20131007-18494-01-001,377288,697288.0,1680000,42,-0.8481584359958441,1
975,C126793,C126793-20110303-19170-01-001,4905490,5715490.0,1400000,7,-0.16512111939887758,1
976,C126798,C126798-20130806-13259-01-001,1855081,1875824.0,8360000,38,-0.011181721984107433,1
977,C126800,C126800-20130529-19114-02-001,784374,792410.0,7260000,33,-0.01024511266309184,1
978,C126806,C126806-20130708-20374-01-001,2478088,2718088.0,1520000,38,-0.09684886089598109,1
979,C126809,C126809-20110909-11931-01-001,1189812,1289812.0,2400000,12,-0.08404689144167314,1
980,C126812,C126812-20130916-17807-01-001,1515207,1665207.0,4500000,36,-0.09899637475275655,1
981,C126840,C126840-20120405-12823-02-001,200000,620000.0,7500000,25,-2.1,1
982,C126842,C126842-20120518-19378-01-001,237148,5047148.0,2900000,29,-20.282692664496434,1
983,C126843,C126843-20120307-14172-01-001,1655948,1781409.0,4180000,19,-0.0757638524881216,1
984,C126852,C126852-20130809-13910-01-001,1019983,1219983.0,5400000,36,-0.19608169940087236,1
985,C126857,C126857-20130214-10014-01-001,424810,464810.0,1360000,34,-0.09415974200230691,1
986,C126887,C126887-20130415-20196-01-001,350504,530504.0,4030000,31,-0.5135462077465592,1
987,C126896,C126896-20130226-15883-01-001,1313333,1671317.0,6380000,29,-0.27257671892810126,1
988,C126899,C126899-20130613-10835-01-001,2086516,2548260.0,6820000,34,-0.22129904587359983,1
989,C126912,C126912-20130925-16894-01-001,1011980,1291980.0,11100000,37,-0.27668530998636337,1
990,C126923,C126923-20130726-13026-01-001,4553850,7469633.0,6120000,34,-0.6402896450256377,1
991,C126933,C126933-20130130-12923-01-001,254437,2954380.0,6900000,29,-10.611440160039617,1
992,C126953,C126953-20121220-17015-01-001,1149807,1249807.0,980000,28,-0.08697111776150258,1
993,C126957,C126957-20111214-15500-01-001,1136105,1257523.0,3520000,16,-0.1068721641045502,1
994,C126966,C126966-20130807-14427-02-001,8693080,16883040.0,5400000,36,-0.9421240803029536,1
995,C126970,C126970-20130912-17760-01-001,721672,951580.0,1850000,37,-0.3185768604019555,1
996,C126973,C126973-20130930-18660-02-001,3715714,7515714.0,4940000,38,-1.022683661874945,1
997,C127004,C127004-20120822-10144-01-001,1143000,1603213.0,7200000,24,-0.4026360454943132,1
998,C127015,C127015-20110614-13352-02-001,14920,534920.0,3000000,10,-34.85254691689008,1
999,C127018,C127018-20131007-13730-01-001,143337,343337.0,8360000,38,-1.395313143152152,1
1000,C127032,C127032-20130923-13086-01-001,525969,605969.0,1720000,43,-0.15210021883418984,1
1001,C127046,C127046-20121227-14552-01-001,9300,309300.0,1160000,29,-32.25806451612903,1
1002,C127047,C127047-20110511-13924-01-001,51500,251500.0,680000,17,-3.883495145631068,1
1003,C127048,C127048-20130830-17118-01-001,338780,911580.0,11100000,37,-1.6907727728909616,1
1004,C127054,C127054-20130425-12061-02-001,443900,1323900.0,9300000,31,-1.98242847488173,1
1005,C127066,C127066-20121012-13732-01-001,1542286,11542286.0,7500000,25,-6.483881718436139,1
1006,C127067,C127067-20121004-11378-01-001,1707583,2378268.0,5940000,33,-0.39276860919791307,1
1007,C127070,C127070-20130729-12127-03-001,1962180,2150881.0,4200000,35,-0.09616905686532326,1
1008,C127084,C127084-20120821-12913-01-001,682550,982550.0,2880000,24,-0.4395282396894,1
1009,C127087,C127087-20130607-13986-01-001,3104894,3368928.0,10200000,34,-0.0850380077387505,1
1010,C127088,C127088-20121031-12762-01-001,501975,661975.0,3500000,35,-0.31874097315603367,1
1011,C127090,C127090-20130822-15546-05-001,2457010,2657010.0,10500000,35,-0.08139975010276719,1
1012,C127091,C127091-20121227-12749-05-001,3173592,5078695.0,7480000,34,-0.6002986521266754,1
1013,C127116,C127116-20121204-18068-01-001,791591,911591.0,1240000,31,-0.1515934365095106,1
1014,C127125,C127125-20130617-17359-02-001,500000,700000.0,11400000,38,-0.4,1
1015,C127140,C127140-20120607-20869-02-001,400000,617512.0,6600000,22,-0.54378,1
1016,C127141,C127141-20120409-16302-01-001,1262767,1322767.0,1600000,20,-0.04751470382105329,1
1017,C127146,C127146-20130822-16913-01-001,367637,567637.0,1640000,41,-0.544014884247233,1
1018,C127149,C127149-20130809-15188-01-001,5164879,9524879.0,5075000,35,-0.8441630481565977,1
1019,C127153,C127153-20120208-18614-01-001,1721700,1761700.0,4620000,21,-0.02323285125166986,1
1020,C127158,C127158-20111027-13778-01-001,780780,1020780.0,1300000,13,-0.30738492276953816,1
1021,C127161,C127161-20130531-17186-01-001,1667548,4558669.0,1640000,41,-1.7337557899382807,1
1022,C127162,C127162-20130212-10454-01-001,6105196,6725182.0,7480000,34,-0.10155054809051176,1
1023,C127164,C127164-20130605-12815-01-001,497250,807250.0,9900000,33,-0.6234288587229764,1
